SAMPLE;PACKAGE;FRAME;STATUS;PLETH;ADDON;CHECKSUM
700;28;25;128;32226;0;223
701;29;1;129;32139;0;137
702;29;2;128;32055;97;149
703;29;3;128;31976;95;67
704;29;4;128;31903;45;200
705;29;5;128;31839;95;186
706;29;6;128;31788;0;40
707;29;7;128;31756;0;8
708;29;8;128;31754;0;6
709;29;9;128;31801;95;148
710;29;10;128;31929;95;20
711;29;11;128;32165;94;0
712;29;12;128;32531;0;18
713;29;13;128;33022;0;254
714;29;14;128;33597;0;64
715;29;15;128;34180;95;232
716;29;16;128;34688;95;230
717;29;17;128;35053;95;84
718;29;18;128;35240;0;177
719;29;19;128;35250;0;187
720;29;20;128;35118;0;55
721;29;21;128;34886;97;175
722;29;22;128;34598;0;45
723;29;23;130;34285;95;83
724;29;24;130;33967;0;181
725;29;25;130;33655;0;124
726;30;1;131;33348;0;73
727;30;2;130;33053;97;129
728;30;3;130;32780;95;109
729;30;4;130;32545;45;79
730;30;5;130;32367;95;206
731;30;6;130;32261;0;5
732;30;7;130;32233;0;232
733;30;8;128;32274;0;16
734;30;9;128;32364;95;201
735;30;10;128;32480;95;61
736;30;11;128;32599;94;180
737;30;12;128;32701;0;188
738;30;13;128;32776;0;8
739;30;14;128;32821;0;53
740;30;15;128;32837;95;164
741;30;16;128;32829;95;156
742;30;17;128;32802;95;129
743;30;18;128;32759;0;246
744;30;19;128;32705;0;192
745;30;20;128;32643;0;130
746;30;21;128;32573;97;157
747;30;22;128;32495;0;237
748;30;23;128;32415;95;252
749;30;24;128;32332;0;74
750;30;25;128;32247;0;244
751;31;1;129;32167;0;165
752;31;2;128;32094;97;188
753;31;3;128;32034;95;126
754;31;4;128;31988;45;29
755;31;5;128;31964;95;55
756;31;6;128;31966;0;218
757;31;7;128;32009;0;6
758;31;8;128;32113;0;110
759;31;9;128;32310;95;147
760;31;10;128;32618;95;200
761;31;11;128;33039;94;110
762;31;12;128;33536;0;3
763;31;13;128;34051;0;8
764;31;14;128;34513;0;215
765;31;15;128;34859;95;146
766;31;16;128;35050;95;81
767;31;17;128;35087;95;119
768;31;18;128;34990;0;182
769;31;19;128;34792;0;239
770;31;20;128;34530;0;232
771;31;21;130;34231;97;31
772;31;22;130;33914;0;128
773;31;23;130;33590;95;154
774;31;24;130;33268;0;247
775;31;25;130;32962;0;196
776;32;1;131;32689;0;179
777;32;2;130;32468;97;53
778;32;3;130;32320;95;159
